Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220u","CP_EIA-3528-21_Kemet-B",26.111200,4.292600,0.000000,bottom
"C2","220u","CP_EIA-3528-21_Kemet-B",26.136600,7.797800,0.000000,bottom
"C5","10u","C_0805_2012Metric",13.200000,2.140000,-90.000000,bottom
"C6","0.1u","C_0805_2012Metric",30.460000,-21.730000,90.000000,bottom
"C7","22u","CP_EIA-3528-21_Kemet-B",17.526000,-6.477000,90.000000,bottom
"C8","22u","CP_EIA-3528-21_Kemet-B",20.904200,-6.477000,90.000000,bottom
"C9","22u","CP_EIA-3528-21_Kemet-B",24.282400,-6.477000,90.000000,bottom
"C10","10u","CP_EIA-3528-21_Kemet-B",14.147800,-6.477000,90.000000,bottom
"C11","10u","CP_EIA-3528-21_Kemet-B",-12.140000,12.267500,90.000000,bottom
"C12","0.1u","C_0805_2012Metric",21.820000,16.720000,90.000000,bottom
"C13","0.1u","C_0805_2012Metric",-9.430000,12.150000,90.000000,bottom
"C14","10u","CP_EIA-3528-21_Kemet-B",-23.220000,10.230000,0.000000,bottom
"C15","0.1u","C_0805_2012Metric",-23.230000,13.050000,0.000000,bottom
"C16","47u","CP_EIA-3528-21_Kemet-B",18.260000,16.120000,90.000000,bottom
"C17","47u","CP_EIA-3528-21_Kemet-B",-4.700000,16.737500,-90.000000,bottom
"C18","0.1u","C_0805_2012Metric",-4.700000,22.297500,0.000000,bottom
"D1","BAT54A","SOT-23",-16.290000,6.700000,90.000000,bottom
"D2","BAT54C","SOT-23",-15.950000,16.130000,-90.000000,bottom
"D3","BAT54C","SOT-23",-19.370000,16.130000,-90.000000,bottom
"J5","Micro_SD_Card","SD Card Holder 112J-TDAR",6.250000,22.750000,0.000000,bottom
"L1","33u","L_0805_2012Metric",19.330000,12.300000,180.000000,bottom
"L2","33u","L_0805_2012Metric",-4.700000,20.187500,0.000000,bottom
"R1","47k","R_0805_2012Metric",25.860000,1.100000,0.000000,bottom
"R2","47k","R_0805_2012Metric",27.380000,-18.750000,180.000000,bottom
"R5","33","R_0805_2012Metric",24.465000,18.125000,-90.000000,bottom
"R6","33","R_0805_2012Metric",20.960000,9.420000,90.000000,bottom
"R13","10k","R_0805_2012Metric",12.750000,8.510000,90.000000,bottom
"R14","10k","R_0805_2012Metric",20.960000,5.740000,90.000000,bottom
"R15","10k","R_0805_2012Metric",15.670000,2.170000,-90.000000,bottom
"R16","10k","R_0805_2012Metric",20.960000,2.087500,-90.000000,bottom
"R17","10k","R_0805_2012Metric",3.470000,0.293400,180.000000,bottom
"R18","27k","R_0805_2012Metric",3.470000,2.300000,180.000000,bottom
"R19","43k","R_0805_2012Metric",3.470000,4.306600,180.000000,bottom
"R20","10k","R_0805_2012Metric",7.610000,0.300000,0.000000,bottom
"R21","27k","R_0805_2012Metric",7.620000,2.300000,0.000000,bottom
"R22","43k","R_0805_2012Metric",7.610000,4.313200,0.000000,bottom
"R23","2k","R_0805_2012Metric",16.101800,-20.200000,-90.000000,bottom
"R24","2k","R_0805_2012Metric",14.150000,-20.200000,-90.000000,bottom
"R25","2k","R_0805_2012Metric",12.194200,-20.200000,-90.000000,bottom
"R26","10k","R_0805_2012Metric",-16.250000,11.760000,-90.000000,bottom
"R27","51","R_0805_2012Metric",-17.365000,21.125000,90.000000,bottom
"R28","51","R_0805_2012Metric",-15.325000,21.125000,90.000000,bottom
"R29","51","R_0805_2012Metric",-24.894603,22.825000,90.000000,bottom
"R30","180","R_0805_2012Metric",-3.800000,11.370000,90.000000,bottom
"R31","180","R_0805_2012Metric",-11.245000,21.125000,90.000000,bottom
"R32","180","R_0805_2012Metric",-13.285000,21.125000,90.000000,bottom
"R33","91","R_0805_2012Metric",-26.910000,22.825000,-90.000000,bottom
"R34","91","R_0805_2012Metric",-28.950000,22.825000,-90.000000,bottom
"R35","91","R_0805_2012Metric",-30.990000,22.825000,-90.000000,bottom
"R36","270","R_0805_2012Metric",-25.825000,-25.275000,0.000000,bottom
"R37","270","R_0805_2012Metric",29.600000,-15.250000,0.000000,bottom
"R38","180","R_0805_2012Metric",26.475000,18.125000,90.000000,bottom
"SD Card","SD Card","SD Card",7.112000,20.142200,180.000000,bottom
"U2","74HC86","SO-14_3.9x8.65mm_P1.27mm",-23.360000,3.770000,180.000000,bottom
"U3","74HC157","SO-16_3.9x9.9mm_P1.27mm",-9.570000,4.440000,180.000000,bottom
