"Идентиф.";"Обозначение";"Посад.место";"Количество";"Значение";"Поставщик и справка";
1;"A1";"PCB-STM32F411";1;"Black_Pill F411CEU6";;;
2;"U1";"DIP-8_W7.62mm";1;"OPA2134";;;
3;"JP_MID,JP_Left,JP_Right";"Джампер";3;"Джампер";;;
4;"REF**,REF**";"PinHeader_1x03_P2.54mm_Vertical";2;"PinHeader_1x03_P2.54mm_Vertical";;;
5;"Верх";"Верхний корпус";1;"Верхний корпус";;;
6;"RV1";"TRIM_3296W-1-102LF";1;"1k";;;
7;"Soket";"DIP-8_W7.62mm_Socket";1;"DIP-8_W7.62mm_Socket";;;
8;"SW1";"Switch SW_TL1105JAF160Q";1;"~";;;
9;"REF**";"PinHeader_1x04_P2.54mm_Vertical";1;"PinHeader_1x04_P2.54mm_Vertical";;;
10;"J4";"PS-2 (Mini Circular DIN 6 pin Connector)";1;"Mini-DIN-6";;;
11;"J3";"Правильный джой";1;"GamePad (NES)";;;
12;"J6";"D-SUB 15FR (Видео правильный)";1;"VGA";;;
13;"D5,D4";"LED_D3.0mm";2;"LED";;;
14;"J1";"Jack_3.5mm_CUI_SJ1-3525N_Horizontal";1;"AudioJack3";;;
15;"Низ";"Нижний корпус";1;"Нижний корпус";;;
16;"CMOS CR12220";"Coin 12.5mm 3 V Lithium Battery";1;"Coin 12.5mm 3 V Lithium Battery";;;
17;"C9,C8,C7";"CP_EIA-3528-21_Kemet-B";3;"22u";;;
18;"R33,R35,R34";"R_0805_2012Metric";3;"91";;;
19;"R15,R17,R26,R14,R16,R20,R13";"R_0805_2012Metric";7;"10k";;;
20;"R31,R32,R38,R30";"R_0805_2012Metric";4;"180";;;
21;"R6,R5";"R_0805_2012Metric";2;"33";;;
22;"J5";"SD Card Holder 112J-TDAR";1;"Micro_SD_Card";;;
23;"C15,C6,C18,C13,C12";"C_0805_2012Metric";5;"0.1u";;;
24;"C16,C17";"CP_EIA-3528-21_Kemet-B";2;"47u";;;
25;"R36,R37";"R_0805_2012Metric";2;"270";;;
26;"D1";"SOT-23";1;"BAT54A";;;
27;"R27,R29,R28";"R_0805_2012Metric";3;"51";;;
28;"R22,R19";"R_0805_2012Metric";2;"43k";;;
29;"D3,D2";"SOT-23";2;"BAT54C";;;
30;"R24,R23,R25";"R_0805_2012Metric";3;"2k";;;
31;"U3";"SO-16_3.9x9.9mm_P1.27mm";1;"74HC157";;;
32;"L1,L2";"L_0805_2012Metric";2;"33u";;;
33;"R2,R1";"R_0805_2012Metric";2;"47k";;;
34;"C10,C11,C14";"CP_EIA-3528-21_Kemet-B";3;"10u";;;
35;"U2";"SO-14_3.9x8.65mm_P1.27mm";1;"74HC86";;;
36;"SD Card";"SD Card";1;"SD Card";;;
37;"R21,R18";"R_0805_2012Metric";2;"27k";;;
38;"C2,C1";"CP_EIA-3528-21_Kemet-B";2;"220u";;;
39;"C5";"C_0805_2012Metric";1;"10u";;;
